,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken
973,865,Religion,Islam,Those land are ruled by the monarch.,0,"['land', 'rule', 'monarch']"
974,865,Religion,Islam,And those guys tend to claim that they are the descendant of the prophet.,0,"['gun', 'tend', 'claim', 'descendant', 'prophet']"
975,865,Religion,Islam,"Besides, they kinda control what the holy land.",0,"['control', 'land']"
976,865,Religion,Islam,"So, what they say counts.",0,"['say', 'count']"
977,865,Religion,Islam,"If tomorrow they say, Trump is the Dajjal, then all the Islam nation, Imams and all need to agree.",0,"['tomorrow', 'say', 'plump', 'nation', 'mass', 'need', 'agree']"
978,865,Religion,Islam,Who are there to go against the family of Muhammad?,0,"['go', 'family']"
979,866,Religion,Islam,the Islam the Malays practices are the corrupted version of the real deal.,0,"['always', 'practice', 'corrupt', 'version', 'real', 'deal']"
980,867,Race,Indian,"In Malaysia, all South Indian Muslim consider as mamak not specific to Tamils",0,"['consider', 'maman', 'specific', 'family']"
981,869,Religion,Unknown,"Some who opt to ""conversion"" ceremony is just your own shock sendiri announce to the world that you now follow different religion.",1,"['opt', 'conversion', 'ceremony', 'shock', 'send', 'announce', 'world', 'follow', 'different', 'religion']"
982,870,Religion,Islam,Modi banning Muslim immigration into India.,0,"['bank', 'slim', 'immigration', 'india']"
983,871,Religion,Islam,"You statement itself insight hate because you did not provide full context, hijab is only ban in school.",0,"['hate', 'provide', 'full', 'context', 'hiram', 'ban', 'school']"
984,872,Religion,Multiple,"The controversial law would apply to religious minorities persecuted on religious grounds, including Hindus, Sikhs, Buddhists, Jains, Parsis and Christians",0,"['controversial', 'law', 'apply', 'religious', 'minority', 'prosecute', 'religious', 'ground', 'include', 'sinus', 'like', 'buddhist', 'pain', 'christian']"
985,873,Race,Indian,"The Malayalee / Telugu / Sri Lankan Tamil has not assimilated into Tamil , They speak Tamil as its the common language of majority.",0,"['dissimilate', 'family', 'speak', 'family', 'common', 'language', 'majority']"
986,873,Race,Indian,"They maintain their cultural heritage (including the language) and celebrate their festival (Onam, Ugathi, Vaisaki etc.)",0,"['maintain', 'cultural', 'heritage', 'include', 'language']"
987,874,Race,Malay,If i follow your logic every Malaysian is Malay because we can speak Malay.,0,"['follow', 'logic', 'malaysian', 'speak', 'malay']"
988,875,Religion,Islam,a Muslim from a Muslim majority country can not claim that they are a minority prosecuted under religious ground,0,"['slim', 'slim', 'majority', 'country', 'claim', 'minority', 'prosecute', 'religious', 'ground']"
989,876,Religion,Hinduism, a lot of arabia practiced some for of hindusm and vedic teaching.,0,"['practice', 'hindu', 'vein', 'teaching']"
990,876,Religion,Hinduism,Whole middle east really love religion.,0,"['really', 'love', 'religion']"
991,877,Religion,Islam,"That someone point of view , he may not like Muslim but that's his problem not the nation as a whole.",0,"['point', 'view', 'like', 'slim', 'problem', 'nation', 'whole']"
992,877,Religion,Islam,That still doesn't say the law wrong.,0,"['still', 'say', 'law', 'wrong']"
993,878,Religion,Islam,They did not ban Muslim from migrating to Indian or made harder for the muslim.,0,"['ban', 'make', 'hard', 'muslin']"
994,878,Religion,Islam,They just merely made if faster for non-muslim,0,"['merely', 'make', 'fast', 'nonmuslin']"
995,879,Religion,Hinduism,I thought Hinduism is Yahudi,0,['think']
996,880,Religion,Hinduism,That is buffalo meat.,0,['meat']
997,880,Religion,Hinduism,Not cow meat.,0,"['cow', 'meat']"
998,880,Religion,Hinduism,Hindu can eat buffolo meat.,0,"['eat', 'buffalo', 'meat']"
999,881,Religion,Hinduism,hindu see Cow = Holy.,0,"['hindu', 'see', 'holy']"
1000,881,Religion,Hinduism,"they not allow to eat, but how their meat can pollute other food?",0,"['allow', 'eat', 'meat', 'polite', 'food']"
1001,881,Religion,Hinduism,?,0,[]
1002,882,Race,Malaysian,"Whole world has to go veggie, cannot sustain already.",0,"['whole', 'world', 'go', 'verge', 'negate', 'already']"
1003,882,Race,Malaysian,"In civilized countries, all the SDG events now make sure menu is 80% veggie already.",0,"['civilized', 'country', 'sdg', 'event', 'make', 'sure', 'menu', 'verge', 'already']"
1004,882,Race,Malaysian,Malaysia still behind the times.,0,"['still', 'time']"
1005,883,Race,Malay,Please separate tables & chairs from babi,1,"['separate', 'table', 'chair', 'baby']"
1006,884,Religion,Hinduism,"Hinduism in India got many type, practices differently.",0,"['get', 'many', 'type', 'practice', 'differently']"
1007,884,Religion,Hinduism,Hinduism is technically not a religion but way of life.,0,"['hinduism', 'technically', 'religion', 'way', 'life']"
1008,884,Religion,Hinduism,So how they worship is also different through the region.,0,"['worship', 'also', 'different', 'region']"
1009,884,Religion,Hinduism,"They worship Ram and Krishna, south worship Murugan, Amman, shiva and smaller deities.",0,"['worship', 'krishna', 'south', 'ship', 'small', 'deity']"
1010,885,Race,Chinese,Chinese can eat everything.,0,['eat']
1011,886,Religion,Hinduism,whats next?,0,['next']
1012,886,Religion,Hinduism,bus/trains need to segregate holy people from unholy people?,0,"['bustrain', 'need', 'aggregate', 'holy', 'people', 'holy', 'people']"
1013,886,Religion,Hinduism,"otherwise, go socmed cry mader cry fader?",0,"['otherwise', 'go', 'cry', 'make', 'cry', 'fade']"
1014,887,Religion,Hinduism,"Same logic as fruits, � how dare you disrespect me by cutting up a holy cow and display it� , you're offending my eyes.",1,"['logic', 'fruit', 'dare', 'disrespect', 'cut', 'holy', 'cow', 'display', 'offend', 'eye']"
1015,888,Religion,Christianity,They tried to spread their Christianity but failed.,0,"['try', 'spread', 'fail']"
1016,888,Religion,Christianity,I politely decline them.,0,"['politely', 'decline']"
1017,888,Religion,Christianity,My neighbours too.,0,['neighbour']
1018,889,Religion,Christianity,The last time I was approached by these people was inside Sunway pyramid.,0,"['last', 'time', 'approach', 'people', 'pyramid']"
1019,889,Religion,Christianity,A young man trying to pass flyers to me and talk about salvation thingy.,0,"['young', 'man', 'try', 'pass', 'ulcer', 'talk', 'salvation', 'thing']"
1020,889,Religion,Christianity,Nope.,0,['hope']
1021,890,Religion,Christianity,they're targeting low educated people,0,"['market', 'low', 'educate', 'people']"
1022,891,Religion,Christianity,"Careful those are cults,really wolf in sheep skin",1,"['careful', 'cut', 'really', 'skin']"
1023,892,Religion,Islam,Illegal to preach to Muslim.,0,"['illegal', 'preach', 'slim']"
1024,893,Religion,Hinduism,I am Hindu.,0,['hindu']
1025,894,Religion,Hinduism,I am learning about Hinduism more.,0,"['learn', 'hinduism']"
1026,895,Religion,Christianity,I once ask my friend what's his church's take regarding LGBTQ.,0,"['ask', 'friend', 'church', 'take', 'regard', 'lgbtq']"
1027,895,Religion,Christianity,He stopped asking me to join him ever since.,0,"['stop', 'ask', 'join', 'ever']"
1028,896,Religion,Islam,"Just say u muslim, end of story.",0,"['say', 'story']"
1029,896,Religion,Islam,They wont dare to bother u.,0,"['dare', 'bother', 'u']"
1030,897,Religion,Christianity,Good spreading the good work to curb the creeping of certain religion,1,"['good', 'spread', 'good', 'work', 'curb', 'creep', 'certain', 'religion']"
1031,898,Religion,Christianity,They target youngsters who are non-muslims - so basically Chinese and Indians.,1,"['target', 'basically', 'chinese', 'indian']"
1032,898,Religion,Christianity,Better avoid them like the plague.,1,"['avoid', 'plague']"
1033,898,Religion,Christianity,They are dungus trying to preach to others without having a proper understanding of their faith themselves.,1,"['fungus', 'try', 'preach', 'other', 'proper', 'understanding', 'faith']"
1034,899,Race,Chinese,your religion is CCP.,1,"['religion', 'ccp']"
1035,899,Race,Chinese,Xi Jin Ping is your god.,1,[]
1036,900,Religion,Christianity,The One True Church is Catholic.,0,"['true', 'church', 'catholic']"
1037,901,Religion,Christianity,"carefull, my parent also been approach by this people before, but my parent decline.",0,"['carefully', 'parent', 'also', 'approach', 'people', 'parent', 'decline']"
1038,901,Religion,Christianity,"My dad say one of his friend join one of this group, nothing much at first.",0,"['say', 'friend', 'join', 'group', 'much', 'first']"
1039,901,Religion,Christianity,But teaching really getting weird later on.,0,"['teach', 'really', 'get', 'weird', 'later']"
1040,901,Religion,Christianity,"Not that i accuse all of them spread ajaran sesat, but some do.",0,"['spread', 'seat']"
1041,902,Religion,Christianity,"My parent already a Christian, every sunday went church, got religious services there, why the need to came an teach at home some more, lol.",0,"['parent', 'already', 'christian', 'go', 'church', 'get', 'religious', 'service', 'need', 'come', 'teach', 'home']"
1042,903,Religion,Hinduism,You Uno reverse them and preach about Hinduism.,0,"['reverse', 'preach', 'hinduism']"
1043,905,Religion,Christianity,How did they start their pitch?,0,"['start', 'pitch']"
1044,905,Religion,Christianity,Like did they ask you about philosophical questions or if you have questions on the meaning of life etc.,0,"['ask', 'philosophical', 'question', 'question', 'mean', 'life']"
1045,905,Religion,Christianity,Or did they ask some mind blowing question to guilt you like �did you know you're living a life of sin� etc ?,0,"['ask', 'mind', 'blow', 'question', 'guilt', 'know', 'live', 'life']"
1046,906,Religion,Unknown,those who convert religion are failed people ..,1,"['convert', 'religion', 'fail', 'people']"
1047,907,Religion,Christianity,Jesus spreading news,0,"['spread', 'news']"
1048,908,Religion,Multiple,Every religion emphasizes on properly cultivating existing devotees to strengten their faith & works.,0,"['religion', 'emphasize', 'properly', 'cultivate', 'exist', 'devotee', 'strengthen', 'faith', 'work']"
1049,909,Religion,Christianity,Why no black SUVs tangkap these fellas?,1,"['tangkap', 'fellow']"
1050,910,Religion,Christianity,"Otherwise, how would these retards die off from this earth?",1,"['otherwise', 'reward', 'die', 'earth']"
1051,910,Religion,Christianity,Annoying AF.,1,['annoying']
1052,911,Religion,Buddhism,last time they come to my house and talked to my father.,0,"['last', 'time', 'come', 'talk', 'father']"
1053,911,Religion,Buddhism,"at the end, my father lecture them how good buddha is.",0,"['lecture', 'good', 'buddha']"
1054,911,Religion,Buddhism,can see their face full of regret lol,0,"['see', 'face', 'full', 'regret']"
1055,912,Religion,Multiple,New members are always the most aggressive even when they have no idea what they are talking about.,0,"['new', 'member', 'always', 'aggressive', 'even', 'idea', 'talk']"
1056,913,Religion,Islam,"To Taliban, anything can be an insult to Islam.",0,['insult']
1057,914,Religion,Multiple,How about insults against Christianity...bhudism...Hinduism...and other religions?,0,"['insult', 'bhudism', 'hinduism', 'religion']"
1058,914,Religion,Multiple,But not also monitoring are they indirectly allowing it?,0,"['also', 'monitor', 'indirectly', 'allow']"
1059,915,Race,Multiple,You should know this is MALAYsia.,1,['know']
1060,915,Race,Multiple,Why surprise ?,1,['surprise']
1061,916,Religion,Islam,Insult muslim should be okay .. should not insult the religion.,0,"['insult', 'religion']"
1062,916,Religion,Islam,Problem is the practitioner not the religion.,0,"['problem', 'practitioner', 'religion']"
1063,917,Race,Multiple,Insult the person not the race.,0,"['insult', 'person', 'race']"
1064,917,Race,Multiple,Practitioner of a religion = a person ... not a race ...,0,"['practitioner', 'religion', 'person', 'race']"
1065,918,Race,Multiple,you minority you diam,1,[]
1066,919,Religion,Hinduism,Hindus are unique breed beauties,0,"['sinus', 'unique', 'breed', 'beauty']"
1067,920,Race,Indian,Malaysian/Singaporean indian guys wet dream..,0,"['indian', 'gun', 'wet', 'dream']"
1068,920,Race,Indian,Hot non-indian hindu chick.,0,"['nonindian', 'hindu', 'thick']"
1069,921,Religion,Hinduism,"wented there, early morning bukan azan you hear, but hinduism chanting outside and on tv as well",0,"['want', 'early', 'morning', 'begin', 'hear', 'hinduism', 'chant', 'outside', 'well']"
1070,923,Religion,Multiple,"many terrorrist here, then kafir should get out quickly to stay save",0,"['many', 'terrorist', 'hair', 'quickly', 'stay', 'save']"
1071,927,Race,Chinese,what race?,1,['race']
1072,927,Race,Chinese,isit cina komunis?,1,['sit']
1073,928,Religion,Multiple,Never really see Hinduism and Buddhism ppl on those list....,0,"['never', 'really', 'see', 'hinduism', 'buddhist', 'list']"
1074,929,Religion,Islam,Unfortunately the moderate Muslim and the world need kafir to prevent this country from becoming full blown islamphobia country.,0,"['unfortunately', 'moderate', 'slim', 'world', 'need', 'hair', 'prevent', 'country', 'become', 'full', 'blow', 'country']"
1075,929,Religion,Islam,The moderate Muslim too timid to handle it.,0,"['moderate', 'slim', 'timid', 'handle']"
1076,930,Race,Foreigner,"Judging from their names, I think arab, bro.",0,"['judge', 'name', 'think', 'arab', 'brow']"
1077,931,Race,Foreigner,got ppl condemn these banglas etc having fun at KlCC,0,"['get', 'pp', 'condemn', 'angle']"
1078,932,Race,Foreigner,"Dude, if we don't have bangla here, who will do the 3D jobs?",0,"['rude', 'job']"
1079,932,Race,Foreigner,"All those construction, etc?",0,['construction']
1080,932,Race,Foreigner,Wanna rely on own ppl?,0,['rely']
1081,932,Race,Foreigner,Kek .,0,[]
1082,932,Race,Foreigner,Kids these days who want to do those 3D jobs?,0,"['lid', 'day', 'want', 'job']"
1083,933,Race,Foreigner,I'd take bangla dancing for tiktok or for their family back home rather than some local playing rempit any day.,0,"['take', 'angle', 'dancing', 'tikhon', 'family', 'back', 'home', 'rather', 'local', 'playing', 'remain', 'day']"
