,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken,Representation
934,848,Religion,Islam,hamas is not extremist right wing?,0,"['hamas', 'extremist', 'right', 'wing']","[1040, 127, 174, 128, 1878, 28, 894, 1270, 423, 1817]"
935,848,Religion,Islam,taliban is not?,0,['taliban'],"[704, 2411, 3, 2206, 1050, 1673, 574, 1788, 17, 29]"
936,848,Religion,Islam,their ultimate goal is to establish a kingdom where only ppl who share the same ideology with them live.,0,"['ultimate', 'goal', 'establish', 'kingdom', 'ppl', 'share', 'ideology', 'live']","[545, 29, 3, 531, 629, 234, 158, 793, 684, 685]"
937,850,Race,Indian,They need these videos to feel good and compare how powerful super india is,0,"['need', 'videos', 'feel', 'good', 'compare', 'powerful', 'super', 'india']","[431, 706, 159, 679, 204, 323, 87, 3, 2277, 2460]"
938,851,Religion,Hinduism,Wat bisnes does a Hindu got in bars & clubs?,1,"['wat', 'bisnes', 'hindu', 'got', 'bars', 'clubs']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
939,852,Religion,Multiple,"if i say someone is kafir, it simply means that person does not believe in islam.",0,"['say', 'someone', 'kafir', 'simply', 'means', 'person', 'disbelieve', 'islam']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
940,853,Religion,Hinduism,Scared kena rape.,0,"['scared', 'kena', 'rape']","[1248, 1113, 897, 3, 923, 1013, 17, 1832, 1274, 3101]"
941,853,Religion,Hinduism,Korea also alot of clubs ban them from entry,0,"['korea', 'alot', 'clubs', 'ban', 'entry']","[143, 103, 504, 2207, 1242, 1712, 503, 3, 204, 502]"
942,854,Race,Indian,You call Indian Muslim as mamak.,0,"['call', 'indian', 'muslim', 'mamak']","[1346, 204, 1082, 1772, 1514, 234, 30, 2344, 28, 1769]"
943,854,Race,Indian,Can Arabs be called mamak too?,0,"['arabs', 'called', 'mamak']","[610, 942, 588, 204, 1062, 375, 2060, 57, 234, 902]"
944,854,Race,Indian,They look the same no difference.,0,"['look', 'sameness']","[682, 2644, 1031, 17, 2065, 1633, 3, 244, 1291, 1345]"
945,855,Religion,Hinduism,The temple is actually built by some Hindu organization.,0,"['temple', 'built', 'hindu', 'organization']","[1040, 127, 174, 128, 1878, 28, 894, 1270, 423, 1817]"
946,855,Religion,Hinduism,They are quite rich to be honest.,0,"['rich', 'honest']","[2069, 344, 950, 341, 1062, 29, 242, 2240, 2966, 234]"
947,855,Religion,Hinduism,They currently have the largest temple outside India is the USA,0,"['currently', 'largest', 'temple', 'outside', 'india', 'usa']","[693, 423, 233, 2061, 198, 26, 2546, 473, 2347, 1028]"
948,856,Race,Indian, The migrant workers there are technically modern day slaves.,0,"['migrant', 'workers', 'technically', 'modern', 'day', 'slaves']","[28, 3, 24, 29, 33, 2225, 264, 266, 265, 938]"
949,856,Race,Indian,"They're housed out of the city, basically in the middle of the dessert and not allowed to visit the city.",0,"['housed', 'city', 'middle', 'dessert', 'forbid', 'visit', 'city']","[545, 29, 3, 531, 629, 234, 158, 793, 684, 685]"
950,856,Race,Indian,Like banned.,0,"['like', 'banned']","[16, 17, 3, 1209, 1215, 186, 722, 530, 2505, 2734]"
951,857,Race,Chinese,why you wasting time replaying a sohai brainless racist CCP wumao?,1,"['wasting', 'time', 'replaying', 'sohai', 'brainless', 'racist', 'ccp', 'wumao']","[146, 873, 533, 1759, 176, 192, 2938, 84, 2355, 2357]"
952,858,Religion,Hinduism,Please spread the virtue of hinduism to those people,0,"['spread', 'virtue', 'hinduism', 'people']","[1842, 29, 499, 1306, 470, 496, 192, 498, 497, 327]"
953,859,Religion,Islam,"U go to India, people wearing hijab also kena rotan",0,"['go', 'india', 'people', 'wearing', 'hijab', 'kena', 'rotan']","[588, 199, 285, 156, 28, 381, 534, 3, 29, 60]"
954,860,Race,Malay,The Malaysian Malays act more Arab than Arab themselves,0,"['malaysian', 'malays', 'act', 'arab', 'arab']","[20, 1466, 132, 56, 17, 92, 396, 3, 176, 29]"
955,861,Religion,Hinduism,Soon....there will be Hindutva mobs terrorizing muslims in Abu Dhabi.,1,"['soon', 'hindutva', 'mobs', 'terrorizing', 'muslims', 'abu', 'dhabi']","[108, 412, 3, 811, 2282, 1045, 405, 1920, 1689, 960]"
956,862,Religion,Hinduism,Later when India want Thaipusam & Deepavali then how?,1,"['later', 'india', 'want', 'thaipusam', 'deepavali']","[588, 199, 285, 156, 28, 381, 534, 3, 29, 60]"
957,863,Religion,Islam,Better than suicide bomber middle of jakarta or hatyai or bangkok,1,"['better', 'suicide', 'bomber', 'middle', 'jakarta', 'hatyai', 'bangkok']","[112, 2588, 575, 968, 331, 30, 128, 517, 551, 550]"
958,864,Religion,Hinduism,Hahaha!,0,['hahaha'],"[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
959,864,Religion,Hinduism,"Unfortunately, Hinduism is something you're born into not something you can convert.",0,"['unfortunately', 'hinduism', 'something', 'born', 'something', 'convert']","[108, 412, 3, 811, 2282, 1045, 405, 1920, 1689, 960]"
960,864,Religion,Hinduism,But everything can do now if you got the money.,0,"['everything', 'got', 'money']","[234, 51, 46, 621, 28, 462, 20, 909, 1037, 600]"
961,865,Religion,Islam,Those land are ruled by the monarch.,0,"['land', 'ruled', 'monarch']","[696, 1209, 1032, 146, 108, 283, 1574, 1210, 1211, 86]"
962,865,Religion,Islam,And those guys tend to claim that they are the descendant of the prophet.,0,"['guys', 'tend', 'claim', 'descendant', 'prophet']","[307, 1565, 2064, 20, 127, 561, 234, 367, 1934, 1100]"
963,865,Religion,Islam,"Besides, they kinda control what the holy land.",0,"['besides', 'kinda', 'control', 'holy', 'land']","[731, 107, 853, 1053, 230, 906, 854, 1441, 1702, 206]"
964,865,Religion,Islam,"So, what they say counts.",0,"['say', 'counts']","[30, 82, 139, 387, 204, 1579, 423, 28, 1135, 115]"
965,865,Religion,Islam,"If tomorrow they say, Trump is the Dajjal, then all the Islam nation, Imams and all need to agree.",0,"['tomorrow', 'say', 'trump', 'dajjal', 'islam', 'nation', 'imams', 'need', 'agree']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
966,865,Religion,Islam,Who are there to go against the family of Muhammad?,0,"['go', 'family', 'muhammad']","[176, 192, 56, 92, 98, 108, 17, 228, 1624, 278]"
967,866,Religion,Islam,the Islam the Malays practices are the corrupted version of the real deal.,0,"['islam', 'malays', 'practices', 'corrupted', 'version', 'real', 'deal']","[635, 1102, 1180, 3010, 2292, 378, 20, 136, 682, 3]"
968,867,Race,Indian,"In Malaysia, all South Indian Muslim consider as mamak not specific to Tamils",0,"['malaysia', 'south', 'indian', 'muslim', 'consider', 'mamak', 'general', 'tamils']","[1346, 204, 1082, 1772, 1514, 234, 30, 2344, 28, 1769]"
969,869,Religion,Unknown,"Some who opt to ""conversion"" ceremony is just your own shock sendiri announce to the world that you now follow different religion.",1,"['opt', 'conversion', 'ceremony', 'shock', 'sendiri', 'announce', 'world', 'follow', 'different', 'religion']","[7, 204, 41, 838, 28, 291, 352, 234, 392, 146]"
970,870,Religion,Islam,Modi banning Muslim immigration into India.,0,"['modi', 'banning', 'muslim', 'immigration', 'india']","[307, 1565, 2064, 20, 127, 561, 234, 367, 1934, 1100]"
971,871,Religion,Islam,"You statement itself insight hate because you did not provide full context, hijab is only ban in school.",0,"['statement', 'insight', 'hate', 'provide', 'full', 'context', 'hijab', 'ban', 'school']","[294, 221, 3, 1209, 347, 2319, 302, 1655, 1727, 445]"
972,872,Religion,Multiple,"The controversial law would apply to religious minorities persecuted on religious grounds, including Hindus, Sikhs, Buddhists, Jains, Parsis and Christians",0,"['controversial', 'law', 'would', 'apply', 'religious', 'minorities', 'persecuted', 'religious', 'grounds', 'including', 'hindus', 'sikhs', 'buddhists', 'jains', 'parsis', 'christians']","[731, 107, 853, 1053, 230, 906, 854, 1441, 1702, 206]"
973,873,Race,Indian,"The Malayalee / Telugu / Sri Lankan Tamil has not assimilated into Tamil , They speak Tamil as its the common language of majority.",0,"['malayalee', 'telugu', 'sri', 'lankan', 'tamil', 'dissimilate', 'tamil', 'speak', 'tamil', 'common', 'language', 'majority']","[704, 2411, 3, 2206, 1050, 1673, 574, 1788, 17, 29]"
974,873,Race,Indian,"They maintain their cultural heritage (including the language) and celebrate their festival (Onam, Ugathi, Vaisaki etc.)",0,"['maintain', 'cultural', 'heritage', 'including', 'language', 'celebrate', 'festival', 'onam', 'ugathi', 'vaisaki']","[731, 107, 853, 1053, 230, 906, 854, 1441, 1702, 206]"
975,874,Race,Malay,If i follow your logic every Malaysian is Malay because we can speak Malay.,0,"['follow', 'logic', 'every', 'malaysian', 'malay', 'speak', 'malay']","[28, 228, 600, 3, 217, 188, 758, 221, 128, 56]"
976,875,Religion,Islam,a Muslim from a Muslim majority country can not claim that they are a minority prosecuted under religious ground,0,"['muslim', 'muslim', 'majority', 'country', 'forfeit', 'minority', 'prosecuted', 'religious', 'ground']","[899, 568, 4, 20, 429, 388, 307, 204, 2198, 1871]"
977,876,Religion,Hinduism, a lot of arabia practiced some for of hindusm and vedic teaching.,0,"['lot', 'arabia', 'practiced', 'hindusm', 'vedic', 'teaching']","[248, 288, 29, 8, 87, 1155, 1548, 2005, 1875, 1754]"
978,876,Religion,Hinduism,Whole middle east really love religion.,0,"['whole', 'middle', 'east', 'really', 'love', 'religion']","[2069, 344, 950, 341, 1062, 29, 242, 2240, 2966, 234]"
979,877,Religion,Islam,"That someone point of view , he may not like Muslim but that's his problem not the nation as a whole.",0,"['someone', 'point', 'view', 'may', 'unalike', 'muslim', 'problem', 'nation', 'whole']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
980,877,Religion,Islam,That still doesn't say the law wrong.,0,"['say', 'law', 'wrong']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
981,878,Religion,Islam,They did not ban Muslim from migrating to Indian or made harder for the muslim.,0,"['ban', 'muslim', 'migrating', 'indian', 'made', 'harder', 'muslim']","[143, 103, 504, 2207, 1242, 1712, 503, 3, 204, 502]"
982,878,Religion,Islam,They just merely made if faster for non-muslim,0,"['merely', 'made', 'faster', 'nonmuslim']","[294, 221, 3, 1209, 347, 2319, 302, 1655, 1727, 445]"
983,879,Religion,Hinduism,I thought Hinduism is Yahudi,0,"['thought', 'hinduism', 'yahudi']","[307, 1565, 2064, 20, 127, 561, 234, 367, 1934, 1100]"
984,880,Religion,Hinduism,That is buffalo meat.,0,"['buffalo', 'meat']","[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
985,880,Religion,Hinduism,Not cow meat.,0,"['cow', 'meat']","[474, 1037, 121, 29, 1584, 2936, 1428, 15, 508, 355]"
986,880,Religion,Hinduism,Hindu can eat buffolo meat.,0,"['hindu', 'eat', 'buffolo', 'meat']","[1040, 127, 174, 128, 1878, 28, 894, 1270, 423, 1817]"
987,881,Religion,Hinduism,hindu see Cow = Holy.,0,"['hindu', 'see', 'cow', 'holy']","[1040, 127, 174, 128, 1878, 28, 894, 1270, 423, 1817]"
988,881,Religion,Hinduism,"they not allow to eat, but how their meat can pollute other food?",0,"['forbid', 'eat', 'meat', 'pollute', 'food']","[696, 1209, 1032, 146, 108, 283, 1574, 1210, 1211, 86]"
989,882,Race,Malaysian,"Whole world has to go veggie, cannot sustain already.",0,"['whole', 'world', 'go', 'veggie', 'negate']","[87, 312, 2215, 242, 57, 396, 1142, 173, 25, 143]"
990,882,Race,Malaysian,"In civilized countries, all the SDG events now make sure menu is 80% veggie already.",0,"['civilized', 'countries', 'sdg', 'events', 'make', 'sure', 'menu', 'veggie']","[881, 176, 148, 207, 613, 700, 652, 1081, 544, 911]"
991,882,Race,Malaysian,Malaysia still behind the times.,0,"['malaysia', 'behind', 'times']","[57, 2522, 56, 17, 28, 1946, 1083, 516, 513, 2841]"
992,883,Race,Malay,Please separate tables & chairs from babi,1,"['separate', 'tables', 'chairs', 'babi']","[2402, 147, 701, 710, 2597, 706, 856, 709, 708, 707]"
993,884,Religion,Hinduism,"Hinduism in India got many type, practices differently.",0,"['hinduism', 'india', 'got', 'many', 'type', 'practices', 'differently']","[2038, 1438, 775, 205, 211, 2082, 2083, 1454, 2233, 349]"
994,884,Religion,Hinduism,Hinduism is technically not a religion but way of life.,0,"['hinduism', 'technically', 'religion', 'way', 'life']","[294, 221, 3, 1209, 347, 2319, 302, 1655, 1727, 445]"
995,884,Religion,Hinduism,So how they worship is also different through the region.,0,"['worship', 'different', 'region']","[37, 2989, 902, 714, 716, 715, 0, 495, 2899, 2383]"
996,884,Religion,Hinduism,"They worship Ram and Krishna, south worship Murugan, Amman, shiva and smaller deities.",0,"['worship', 'ram', 'krishna', 'south', 'worship', 'murugan', 'amman', 'shiva', 'smaller', 'deities']","[37, 2989, 902, 714, 716, 715, 0, 495, 2899, 2383]"
997,885,Race,Chinese,Chinese can eat everything.,0,"['chinese', 'eat', 'everything']","[431, 706, 159, 679, 204, 323, 87, 3, 2277, 2460]"
998,886,Religion,Hinduism,whats next?,0,"['whats', 'next']","[269, 140, 17, 1682, 203, 138, 1292, 597, 56, 1209]"
999,886,Religion,Hinduism,bus/trains need to segregate holy people from unholy people?,0,"['bus', 'trains', 'need', 'segregate', 'holy', 'people', 'unholy', 'people']","[20, 1466, 132, 56, 17, 92, 396, 3, 176, 29]"
1000,886,Religion,Hinduism,"otherwise, go socmed cry mader cry fader?",0,"['otherwise', 'go', 'socmed', 'cry', 'mader', 'cry', 'fader']","[601, 392, 128, 217, 1708, 2528, 820, 836, 1826, 587]"
1001,887,Religion,Hinduism,"Same logic as fruits, “ how dare you disrespect me by cutting up a holy cow and display it” , you're offending my eyes.",1,"['logic', 'fruits', 'dare', 'disrespect', 'cutting', 'holy', 'cow', 'display', 'offending', 'eyes']","[112, 2588, 575, 968, 331, 30, 128, 517, 551, 550]"
1002,888,Religion,Christianity,They tried to spread their Christianity but failed.,0,"['tried', 'spread', 'christianity', 'failed']","[2038, 1438, 775, 205, 211, 2082, 2083, 1454, 2233, 349]"
1003,888,Religion,Christianity,I politely decline them.,0,"['politely', 'decline']","[431, 706, 159, 679, 204, 323, 87, 3, 2277, 2460]"
1004,888,Religion,Christianity,My neighbours too.,0,['neighbours'],"[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
1005,889,Religion,Christianity,The last time I was approached by these people was inside Sunway pyramid.,0,"['last', 'time', 'approached', 'people', 'inside', 'sunway', 'pyramid']","[635, 1102, 1180, 3010, 2292, 378, 20, 136, 682, 3]"
1006,889,Religion,Christianity,A young man trying to pass flyers to me and talk about salvation thingy.,0,"['young', 'man', 'trying', 'pass', 'flyers', 'talk', 'salvation', 'thingy']","[176, 192, 56, 92, 98, 108, 17, 228, 1624, 278]"
1007,889,Religion,Christianity,Nope.,0,['nope'],"[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
1008,890,Religion,Christianity,they're targeting low educated people,0,"['targeting', 'low', 'educated', 'people']","[1649, 257, 1096, 1298, 29, 1105, 1209, 1601, 139, 107]"
1009,891,Religion,Christianity,"Careful those are cults,really wolf in sheep skin",1,"['careful', 'cults', 'really', 'wolf', 'sheep', 'skin']","[28, 228, 600, 3, 217, 188, 758, 221, 128, 56]"
1010,892,Religion,Islam,Illegal to preach to Muslim.,0,"['illegal', 'preach', 'muslim']","[7, 204, 41, 838, 28, 291, 352, 234, 392, 146]"
1011,893,Religion,Hinduism,I am Hindu.,0,['hindu'],"[1040, 127, 174, 128, 1878, 28, 894, 1270, 423, 1817]"
1012,894,Religion,Hinduism,I am learning about Hinduism more.,0,"['learning', 'hinduism']","[307, 1570, 773, 28, 860, 1972, 1626, 1265, 1153, 190]"
1013,895,Religion,Christianity,I once ask my friend what's his church's take regarding LGBTQ.,0,"['ask', 'friend', 'church', 'take', 'regarding', 'lgbtq']","[307, 1565, 2064, 20, 127, 561, 234, 367, 1934, 1100]"
1014,895,Religion,Christianity,He stopped asking me to join him ever since.,0,"['stopped', 'asking', 'join', 'since']","[283, 327, 472, 131, 325, 29, 624, 326, 324, 143]"
1015,896,Religion,Islam,"Just say u muslim, end of story.",0,"['say', 'muslim', 'end', 'story']","[1346, 204, 1082, 1772, 1514, 234, 30, 2344, 28, 1769]"
1016,896,Religion,Islam,They wont dare to bother u.,0,"['wont', 'dare', 'bother']","[112, 2588, 575, 968, 331, 30, 128, 517, 551, 550]"
1017,897,Religion,Christianity,Good spreading the good work to curb the creeping of certain religion,1,"['good', 'spreading', 'good', 'work', 'curb', 'creeping', 'certain', 'religion']","[234, 51, 46, 621, 28, 462, 20, 909, 1037, 600]"
1018,898,Religion,Christianity,They target youngsters who are non-muslims - so basically Chinese and Indians.,1,"['target', 'youngsters', 'nonmuslims', 'chinese', 'indians']","[28, 1553, 939, 845, 2159, 1835, 143, 635, 60, 204]"
1019,898,Religion,Christianity,Better avoid them like the plague.,1,"['better', 'avoid', 'like', 'plague']","[583, 388, 239, 1910, 3, 1878, 24, 75, 860, 2257]"
1020,898,Religion,Christianity,They are dungus trying to preach to others without having a proper understanding of their faith themselves.,1,"['dungus', 'trying', 'preach', 'others', 'without', 'proper', 'understanding', 'faith']","[221, 97, 891, 401, 220, 1120, 400, 402, 901, 423]"
1021,899,Race,Chinese,your religion is CCP.,1,"['religion', 'ccp']","[234, 51, 46, 621, 28, 462, 20, 909, 1037, 600]"
1022,899,Race,Chinese,Xi Jin Ping is your god.,1,"['xi', 'jin', 'ping', 'god']","[693, 423, 233, 2061, 198, 26, 2546, 473, 2347, 1028]"
1023,900,Religion,Christianity,The One True Church is Catholic.,0,"['one', 'true', 'church', 'catholic']","[221, 97, 891, 401, 220, 1120, 400, 402, 901, 423]"
